Matricula,Latitud,Longitud,Distance,Pos_date,date_fmt
9EA75D576149F526833F7F0CAFBFBD2DC701213D1D0C584D073D35F341947388,39.5523181,-4.6724346,0.0619311218,1701396890000,01-12-2023 03:14:50
216988BB419507DFAB380C71C4795482CA90FC861D4C361F913B93203A57F5F6,33.6142883,-114.373735,1.3234387518,1701396881000,01-12-2023 03:14:41
4CD8D96089ECF07CC668FB8A805D6088E400A136E696D0608323C332DBD949D8,43.3261733,-7.781715,0.022099355100000002,1701396880000,01-12-2023 03:14:40
E9D8202FBEF52727BC67129BD6FC9DE7B287E32CB5AAEC3F3995640AD3ECE32E,32.6133416,-115.3635333,0.15233185570000002,1701396876000,01-12-2023 03:14:36
A380A614532C7F70201FF7711BE76CD4919A0FD320D3476BECCDECE8CA433C2C,41.3836433,-2.4176166,0.0,1701396874000,01-12-2023 03:14:34
FF3C59B448620745BF18F32F614A1E7B43B32C7A89545EC541A90558D199D111,38.0140942,-4.5634103,0.0012091684,1701396874000,01-12-2023 03:14:34
2E6DE46599917276EA118315105E20AEC32E0A63CDE37C796351602488BB3A89,38.2565216,8.0781066,0.0,1701396873000,01-12-2023 03:14:33
679894276A1A15836A4517559DE4C780456B019AEABB4FBF9E878A1EEB665D57,44.2888433,-0.9563115999999999,0.0321185161,1701396873878,01-12-2023 03:14:33
B552A6A633BDA3272B8840DEFAFA97AF693265E69D46098DB86823F714D205DF,43.4618683,-3.8247416,0.2768174295,1701396873000,01-12-2023 03:14:33
19CB2C27AEA2A6C6C4DBAAB759FC3A4D6FC7A80E197BBA6B9814F7F04708C407,43.5006833,-7.7680849,0.1004137868,1701396867000,01-12-2023 03:14:27
A6D78066EBB26BC55C204182D5E8C1C47550EFA8F8D3014BC3845CB5056F90B9,52.9293004,-4.1337946,0.0015200909,1701396866000,01-12-2023 03:14:26
A6CB6B76C9ECB8C0FF4649D07C374C16E8745047A84303D7E6673F577AC7D644,38.68924,-7.0914333,0.0,1701396864010,01-12-2023 03:14:24
3FAF341332DDEE9102FD801D10F7D611A8CE9E7948372664C0AF02BB8362E9AE,43.26841,-2.0511466,0.043734407600000004,1701396856851,01-12-2023 03:14:16
E9B77D40DA9A90D93509C6E3CFFBFE1568DB46DCF5976274DCFCC83DB6F11612,42.49722,-8.6559483,0.0,1701396856275,01-12-2023 03:14:16
B376D69E11972366C72E37CBE81B7693F0A20F60788484249732048A390468A6,38.8801833,-3.7682333,0.6623851342,1701396849000,01-12-2023 03:14:09
07F0F06AFDDE789E75C987F1E8AF8E5F48E72512AD4FC4FBD22D89D19D0618BC,41.1657983333,-8.6202166667,0.0088059683,1701396847000,01-12-2023 03:14:07
E0047EE446AB648BEA8D01836B0FBDBA466C8C19A4EFA5788990BB1D505D5919,41.1215166667,1.1926833333,0.0199770786,1701396842000,01-12-2023 03:14:02
1ED85AD5FE9A0543216F4472E689944A7AE066A584B7A2B7E9ED1FD13DF72479,41.0633116,-8.1337283,0.0205234174,1701396841000,01-12-2023 03:14:01
F7A42C671224FB482AA1F752A7D2E24FBA1044196DF57F8D75B8E03E87517A35,43.3655933,-8.4064933,0.0,1701396835000,01-12-2023 03:13:55
5BC2BF3A6350B344B8AD981186F5899D941076D982A6083C182A13D3F6B376DD,18.6865729,-68.4849918,0.0078001435000000004,1701396829000,01-12-2023 03:13:49
679E1E2CF2BC6497342347D4B137CD3DC0C80EAF38A97781ADB848F40E7923FB,39.6072133,3.29675,0.3203887253,1701396829000,01-12-2023 03:13:49
B3C6B707FF586E09DD4455DAB6DEA799EC9DA501B0181ABE235EC1E192A20E3D,41.7701396,2.6727695,0.0004003116,1701396828000,01-12-2023 03:13:48
13235751DB1148FCD42982232152D28444DC7A0A8CB2EAB8BAC00A92D7E0DEA0,42.363665,3.1014366,1.0413406651,1701396827000,01-12-2023 03:13:47
B689E95F0FA3EB0D7C7CDF6F957C37474B5873FA67ADA532A26B00F512D15CFA,43.2609416,-2.928105,0.0,1701396820238,01-12-2023 03:13:40
8881B4F2722D5BAACFBE89FFD848EC76CF11E9745F807AF4E6F99A2F8A55C3DF,39.4794549,-4.5766216,1.4730067053,1701396819000,01-12-2023 03:13:39
3F2BF0F9BC0EDF81585748F2BB7A9277D3ABDF4C4987EE6E7F096A42B1549327,38.5473016,2.3386533,0.0876656066,1701396810000,01-12-2023 03:13:30
